,users,yields,followers
573,Vladimir_iskorostinsky,-45.87,0
574,west_26,23.67,0
575,topreta,0.81,0
576,006as,-71.54,1
577,Seoshnik,29.04,3
578,nefedrom,-1.87,0
579,Snop4lk,-33.37,1
580,EzTagsss,34.01,0
581,AG007,-26.14,2
582,Stoik10000,0.0,0
583,GORIZONT017,56.07,8
584,penkosnimatel,38.2,6
585,w1zrd,31.59,0
586,vpbv,-102.33,0
587,Vik_dumbMoney,51.2,97
588,MaximusDM909,45.99,1
589,investor.m2,-48.85,2
590,dividends.yeah,39.33,329
591,Zvezda0101,-18.25,0
592,Typhoon886,-8.1,6
593,olchik747,39.43,0
594,Graecus,-213.2,1
595,SibirNinja,3.13,1
596,Pepper063,-1.19,25
597,hardworker20,20.64,2
598,VictoryBBB,-2.04,948
599,Dnevnik_Invest0ra,20.6,88
600,Juan_Lapierde,-51.5,3
601,Danielfunky,-98.69,1
602,ARTURINVESTOR1720,-12.78,1
603,RybakFilimon,-6.31,7
604,EkaterinaMal,11.38,0
605,PILOT6506,34.74,0
606,Ivan.18,-292.6,4
607,HappyA163,29.45,2
608,IIkolesnev,11.33,8
609,dxsmat,13.96,1
610,Kaneda,7.81,1
611,Homyaxxx,52.21,1
612,Vetal44,-146.55,2
613,Denis.Pavlov,31.33,0
614,ThinkForFuture,-0.46,0
615,famjam,-1.17,2
616,boring_invest,15.33,2411
617,sergeyinvestor2020,13.89,18
618,NatalyRA,7.91,2
619,Niko_Belic,0.0,0
620,Dem.Gali,18.97,24
621,Fffff1,-44.61,0
622,Vanish324,0.0,0
623,Olala86,53.18,24
624,Black_Hood_Trade,113.47,2124
625,Disksen,-119.1,8
626,Voland_15,31.64,3
627,Ski_Svet,34.85,7
628,strelok762,15.05,3
629,BenCuba,51.99,0
630,lizaoleynik1723,36.78,17
631,LARA1026,6.06,1
632,FromThere,-62.2,25
633,STpro,-52.83,565
634,RAYGUL,-8.82,9
635,Blazhennov,20.56,3
636,PILOT_13,-41.75,4
637,Investaizer,3.81,3
638,leila16,9.47,266
639,IfroInvest,-73.32,2
640,Bitkogan,0.0,0
641,ArtemSeeB,0.03,229
642,Viral1546,17.66,0
643,Prototip_2.0,-396.56,223
644,Serg_eechev,-213.66,4
645,George85,-57.63,0
646,Major__Pain,0.0,0
647,Don_Corle0ne,28.09,0
648,zurisar,42.09,5
649,Andranik190,-13.47,1
650,Alex21111981,-173.9,10
651,Ghost0077,-2.28,0
652,strmbrngr,34.78,235
653,PoZiTiVcHik131,13.97,0
654,Serj_27,9.04,0
655,xxxPULSARxxx,0.91,2
656,Damir2810,72.59,6
657,Lesnoydead,47.99,12
658,UrpaJlc9l,-22.76,6
659,Molokovoz,21.66,4
660,Marlynx,16.01,7
661,AleksCaYz,11.0,1
662,Denya.94,32.14,19
663,AshleyFx,9.34,3
664,quensis,7.64,3
665,Rompecabeza,-0.09,3
666,CtoKiloubytka,0.12,21
667,i_bealive_i_can_buy,-12.3,8
668,kari_oneiro,2468.62,3350
669,VKACH23,9.12,1
670,Lesnik34,8.57,0
671,ves150kg,11.79,22
672,Din3a,0.0,0
673,ymno,0.0,0
674,nelsonn,24.76,0
675,_Invest.boy_,9.6,1
676,gazproma,-79.45,13
677,K0JIXO3HuK,-2.43,36
678,SkyTeamO_o,151.28,2
679,IvanovMaxim,8.21,6
680,frog666,88.44,0
681,___invictus___,-3.32,15
682,mrtc,-31.2,13
683,Prodengi,13.91,73
684,gregoryawesoman,-23.07,5
685,Pt_evil,-130.34,28
686,Stasian_,8.2,1
687,i_stockholder,0.54,3
688,D14M29,2.0,1
689,Kol0s,13.58,5
690,superinvester.ru,13.23,0
691,Avra.vaz,0.0,0
692,ipo_arik,0.0,0
693,temnayaluna,25.97,2
694,E2ard,-102.04,1
695,Radjabova,0.0,0
696,Sergius_Standhaftsohn,33.88,193
697,FlintheartGlomgold,57.53,14
698,gaechka27,-72.29,1
699,Pokemon10,-429.19,11
700,LiZaVeTaAm,33.97,1
701,tractoristinvestor,29.52,0
702,nikoz,69.1,8
703,Osnovatelll,12.91,1244
704,no_shirk,-149.14,0
705,monke_stonks_101,0.0,0
706,oleg151219,4.13,1
707,MrGreench,-12.07,16
708,INVESTONE,0.0,0
709,moneyfestt,-30.9,0
710,Mr_Kolka,24.9,34
711,Dar1uS,15.97,0
712,RobotsForex.Ru,-366.51,3
